Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
85,0,1,1,6,0,0,0,19,18393,23317033.19,6.685446009,52.7,22.2,12.2,32.1,24.5,8.9,39.1,16.6,23.7,17.6,2.9,38,28.8,28.4,34,33.4,15.6,10.9,1.8,4.5,5.2,2.4,4.7,81.8,55,0.37,0.185,3.29,1.49,0.67,0.96,0.0832,1.5447,1.0899,0.8201,0.4334,0.0354,0.0606,0.1529,0.0127,0.2256,0.0272,0.2215
86,1,2,0,3,0,1,4,76,27438,10732451.82,7.310344828,52,29.8,12,29,20.9,8.3,74.5,1.3,22.6,1,0.6,31.9,36,43.7,38.5,53.6,12.7,14.8,2.8,9.1,8.2,2.7,5.5,83.5,60.1,0.23,0.157,3.39,1.79,0.82,1.21,0.1336,2.3089,2.5539,1.1366,0.2958,0.0289,0.0833,0.1581,0.0109,0.2515,0.0856,0.2475
87,1,0,1,8,0,2,5,108,74835,23297284.25,5.838028169,54.1,16.4,9,30,27.4,17.2,39.3,22.5,9.4,25.4,3.3,31.6,30.9,30.9,28.2,35.5,11.2,18.2,4.1,7.7,12.1,5,7.7,90,47.3,0.223,0.076,1.76,0.89,0.32,0.6,0.0605,1.1502,1.2408,1.0508,0.2564,0.0373,0.1564,0.109,0.0151,0.2111,0.0488,0.193
88,3,3,0,10,1,3,0,144,147633,120712628.6,7.410863168,52.29664777,21.46820291,8.10568843,25.67413045,27.91944958,16.87551293,7.351565029,71.75066076,3.463579958,16.11359994,1.320594312,46.34992786,31.43697751,13.98039056,16.29394648,16.96046412,9.28115462,12.0004457,2.983744149,4.759685843,8.498999546,4.383188041,6.396663348,91.97174615,36.70073154,0.184897848,0.094174643,1.49150488,0.860324182,0.311002689,0.193384745,0.02463552,0.5008977,0.368413282,0.455091066,0.282432458,0.009901433,0.100523426,0.11585328,0.005654457,0.02539042,0.006119628,0.147881438
89,0,1,0,2,0,0,2,112,51422,17732688.73,7.713286713,52.2,20.9,10.3,32,26.6,10.2,76,13.8,7.1,1.5,1.5,48,39.9,29.8,26.9,37.4,16.5,10.8,2.2,4.3,5.9,3.1,4.8,82.9,40.9,0.204,0.119,1.65,0.88,0.36,0.39,0.0423,0.9638,0.7338,0.5854,0.2817,0.024,0.0337,0.0682,0.0032,0.1877,0.0408,0.1072
90,0,0,0,8,1,0,2,125,40426,17271780.96,7.119047619,56.1,31.7,11.8,28.3,19.3,8.9,64.5,2,31.5,0.6,1.4,30.2,32.3,41.5,40.8,56.1,16.1,15.4,3.1,6.7,9.9,3.1,5.1,83.9,61,0.19,0.158,2.97,1.57,0.64,1.37,0.185,2.3088,3.0325,1.2375,0.4315,0.0392,0.1085,0.2028,0.0041,0.3228,0.0841,0.2806
91,1,0,0,0,0,1,0,30,38169,57684905.23,7.159041394,52.2,18.3,6.9,27.5,28.4,19.1,17,74.1,0.7,7.4,0.7,32.6,17.4,14.9,9,4.9,7.9,9.1,1.2,2.8,5.7,2.1,4.3,90.7,18.8,0.149,0.079,0.85,0.57,0.12,0.15,0.0141,0.5395,0.3142,0.3359,0.2758,0.0052,0.0308,0.0774,0.0017,0.0262,0.0105,0.1313
92,0,6,1,9,0,0,1,59,77303,47580697.81,6.715907902,54.09168338,7.414149516,10.38986456,40.18432014,22.82399648,19.1876693,7.129540898,70.49197185,2.668928761,17.41663325,2.392925242,27.84894635,7.204014074,2.659081795,8.83632718,3.54062973,4.776003519,6.940918205,1.1,2.246462621,3.807074758,1.480306068,2.216921724,95.18460862,8.093878633,1.873177134,0.439832542,7.322348292,5.137167639,0.924158312,0.205200704,0.015279729,0.669247758,0.511476859,0.494858896,0.203247216,0.034011842,0.053333931,0.079240806,0.003921224,0.205678815,0.056282389,0.092977045
93,0,0,0,5,0,1,2,59,72662,53581669.59,7.844573917,51.14455699,27.01480967,10.43860753,24.1455699,24.12873441,14.22772151,7.804936556,78.70582147,3.263418293,8.798102172,1.4,36.18924197,28.31696347,13.9,22.32974732,21.51987421,8.98911398,10.78911398,2.116835485,3.911898929,7.4,3.62177204,5.58911398,89.95544301,38.39607635,0.084,0.04933671,1.065645592,0.584455699,0.271683548,0.194455699,0.014238864,0.487432073,0.364906355,0.533192314,0.235904191,0.008080254,0.093220642,0.098450133,0.004132658,0.016479497,0.011709116,0.121344941
94,1,0,0,1,0,0,0,41,48103,69463730.92,7.094949495,51.6,24.3,8.5,25,27.3,14.9,9.1,70.2,12.3,6.7,1.7,27.5,13.8,9,7.7,7.7,9.7,8,1.2,2.7,5.1,2.3,3.8,93.1,18.3,0.118,0.067,1.37,0.89,0.22,0.14,0.0187,0.4719,0.3062,0.3383,0.2833,0.0042,0.0246,0.0639,0.0014,0.026,0.0083,0.1241
95,0,1,0,3,1,1,1,65,55450,20155869.19,7.24137931,55.1,11.8,26.2,30.4,20.3,11.3,22.1,47.7,11.5,15.2,3.5,30.1,12.5,11.7,24.2,10,7.3,9.3,1.6,3.4,6.1,2.6,3.5,92.6,17.6,0.18,0.056,1.5,0.92,0.31,0.35,0.0258,0.9197,0.8041,0.6832,0.2665,0.0329,0.0715,0.0936,0.0048,0.2083,0.0577,0.1181
96,0,3,2,3,0,0,2,136,39894,16891753.48,7.054054054,53.7,30.1,11.5,27.7,22.5,7.9,61,1.3,35.5,0.5,1.7,32,29.9,37.4,36.2,49.8,15.8,13.8,2.9,6.3,7.6,2.6,4.8,85.8,60,0.143,0.143,2.43,1.18,0.67,1.38,0.1511,2.1631,2.8835,1.5872,0.4009,0.0455,0.1381,0.2036,0.005,0.3108,0.0865,0.271
